"Zeitstempel","Bitte bestätigen Sie, dass Sie die Informationen gelesen haben und mit der Teilnahme sowie der anonymen Auswertung Ihrer Antworten einverstanden sind.","Welches Geschlecht haben Sie?","Wie alt sind Sie?","In welchem Land leben Sie derzeit?","Was ist Ihr höchster Bildungsabschluss?","Was ist Ihr derzeitiger beruflicher Status?","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist akkurat (präzise).]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist vollständig.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist sachkundig (kompetent).]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist ehrlich.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist vertrauenswürdig.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist zuverlässig.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist klar.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist nicht verwirrend.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist verständlich.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist interessant.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung hält meine Aufmerksamkeit.]","Wie bewerten Sie den Einsatz von Künstlicher Intelligenz in der Werbung allgemein?"
"2025/05/20 5:06:32 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","beschreibt schlecht","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt sehr schlecht","beschreibt sehr schlecht","beschreibt gut","beschreibt gut","beschreibt gut","beschreibt sehr schlecht","beschreibt schlecht","Sehr positiv"
"2025/05/20 5:24:11 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","45–54 Jahre","Deutschland","Masterabschluss","Beamte/r","beschreibt gut","neutral","beschreibt schlecht","neutral","beschreibt gut","neutral","beschreibt schlecht","beschreibt gut","neutral","neutral","beschreibt schlecht","Eher negativ"
"2025/05/20 8:15:11 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","55–64 Jahre","Deutschland","Mittlere Reife / Realschulabschluss","Angestellte/r","beschreibt gut","beschreibt schlecht","neutral","beschreibt gut","beschreibt gut","beschreibt gut","beschreibt sehr gut","beschreibt gut","beschreibt sehr gut","beschreibt schlecht","neutral","Neutral"
"2025/05/20 11:49:27 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","beschreibt schlecht","beschreibt schlecht","beschreibt schlecht","beschreibt gut","neutral","beschreibt schlecht","neutral","beschreibt sehr gut","beschreibt sehr gut","neutral","beschreibt gut","Eher positiv"
"2025/05/22 11:20:54 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","beschreibt gut","neutral","neutral","beschreibt sehr gut","neutral","neutral","beschreibt sehr gut","beschreibt sehr gut","beschreibt sehr gut","neutral","beschreibt sehr schlecht","Eher positiv"
"2025/05/22 11:21:46 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","beschreibt gut","beschreibt schlecht","beschreibt schlecht","beschreibt gut","beschreibt schlecht","beschreibt schlecht","beschreibt sehr gut","beschreibt gut","beschreibt sehr gut","beschreibt schlecht","beschreibt sehr schlecht","Eher negativ"
"2025/05/22 11:22:29 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","neutral","beschreibt schlecht","neutral","neutral","beschreibt schlecht","neutral","beschreibt gut","neutral","neutral","neutral","neutral","Eher negativ"
"2025/05/23 1:32:35 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","18–24 Jahre","Deutschland","Mittlere Reife / Realschulabschluss","Schüler","beschreibt gut","beschreibt schlecht","neutral","beschreibt gut","beschreibt gut","beschreibt gut","beschreibt gut","beschreibt sehr gut","beschreibt sehr gut","beschreibt sehr schlecht","beschreibt schlecht","Eher negativ"
"2025/05/26 5:53:55 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","beschreibt gut","beschreibt sehr schlecht","beschreibt schlecht","neutral","neutral","neutral","beschreibt gut","beschreibt schlecht","beschreibt gut","beschreibt schlecht","beschreibt schlecht","Eher positiv"
"2025/05/26 6:36:53 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","neutral","beschreibt sehr schlecht","beschreibt gut","beschreibt gut","beschreibt gut","beschreibt gut","neutral","beschreibt schlecht","neutral","neutral","beschreibt schlecht","Eher positiv"
"2025/05/27 12:54:31 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","beschreibt gut","beschreibt gut","beschreibt schlecht","beschreibt schlecht","neutral","neutral","beschreibt sehr gut","beschreibt gut","beschreibt sehr gut","neutral","neutral","Eher negativ"
"2025/05/28 4:11:54 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","45–54 Jahre","Deutschland","Masterabschluss","Angestellte/r","neutral","beschreibt gut","beschreibt schlecht","neutral","beschreibt gut","neutral","beschreibt gut","beschreibt gut","beschreibt schlecht","beschreibt schlecht","beschreibt schlecht","Eher negativ"
"2025/05/28 10:41:24 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","55–64 Jahre","Österreich","Berufsausbildung / Lehre","Angestellte/r","neutral","beschreibt gut","beschreibt gut","neutral","beschreibt schlecht","beschreibt schlecht","neutral","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt sehr schlecht","Sehr negativ"
"2025/05/28 10:50:08 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","45–54 Jahre","Österreich","Bachelorabschluss","Angestellte/r","neutral","beschreibt sehr schlecht","beschreibt schlecht","beschreibt gut","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt gut","beschreibt sehr schlecht","beschreibt gut","beschreibt schlecht","Eher negativ"
"2025/05/28 10:54:17 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","65 Jahre oder älter","Deutschland","Berufsausbildung / Lehre","Angestellte/r","beschreibt schlecht","neutral","beschreibt gut","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt schlecht","beschreibt schlecht","Eher negativ"
"2025/05/29 11:17:32 AM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","65 Jahre oder älter","Deutschland","Berufsausbildung / Lehre","Beamte/r","beschreibt sehr schlecht","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","neutral","beschreibt sehr schlecht","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","neutral","beschreibt sehr schlecht","Sehr negativ"
"2025/05/29 11:20:05 AM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","45–54 Jahre","Deutschland","Masterabschluss","Selbstständig","beschreibt gut","neutral","beschreibt gut","beschreibt sehr gut","beschreibt gut","beschreibt sehr gut","beschreibt gut","beschreibt schlecht","beschreibt gut","beschreibt sehr schlecht","beschreibt gut","Eher positiv"
"2025/05/29 11:20:37 AM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","35–44 Jahre","Österreich","(Fach-)Abitur / Matura","Angestellte/r","beschreibt sehr schlecht","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","beschreibt sehr schlecht","beschreibt sehr schlecht","beschreibt schlecht","beschreibt sehr schlecht","beschreibt sehr schlecht","beschreibt schlecht","beschreibt sehr schlecht","Eher positiv"
"2025/05/29 11:22:59 AM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","55–64 Jahre","Schweiz","Doktorat (PhD)","Selbstständig","neutral","beschreibt schlecht","beschreibt gut","neutral","beschreibt schlecht","neutral","beschreibt gut","neutral","neutral","neutral","beschreibt schlecht","Neutral"
"2025/05/29 6:59:06 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","45–54 Jahre","Deutschland","Bachelorabschluss","Angestellte/r","neutral","beschreibt gut","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","neutral","beschreibt sehr schlecht","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","neutral","Eher negativ"
"2025/05/29 6:59:52 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","45–54 Jahre","Deutschland","Masterabschluss","Angestellte/r","beschreibt gut","beschreibt gut","neutral","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt gut","beschreibt sehr gut","beschreibt schlecht","neutral","beschreibt schlecht","Neutral"
"2025/05/29 7:01:12 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","25–34 Jahre","Deutschland","(Fach-)Abitur / Matura","Selbstständig","beschreibt gut","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt schlecht","Neutral"
"2025/05/29 7:06:26 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","45–54 Jahre","Deutschland","Bachelorabschluss","Angestellte/r","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt schlecht","beschreibt schlecht","neutral","beschreibt sehr schlecht","Eher negativ"
"2025/05/29 7:07:08 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","65 Jahre oder älter","Deutschland","Mittlere Reife / Realschulabschluss","Angestellte/r","beschreibt sehr schlecht","beschreibt schlecht","neutral","beschreibt schlecht","neutral","neutral","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","neutral","beschreibt schlecht","Sehr negativ"
"2025/05/29 7:08:18 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","45–54 Jahre","Deutschland","Berufsausbildung / Lehre","Angestellte/r","beschreibt sehr schlecht","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","Eher negativ"
"2025/05/29 7:09:20 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","45–54 Jahre","Deutschland","Bachelorabschluss","Beamte/r","beschreibt sehr schlecht","beschreibt schlecht","neutral","beschreibt schlecht","neutral","beschreibt gut","beschreibt sehr gut","beschreibt sehr gut","neutral","beschreibt gut","neutral","Neutral"
"2025/05/29 7:10:10 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","25–34 Jahre","Deutschland","Berufsausbildung / Lehre","Angestellte/r","beschreibt gut","beschreibt sehr gut","neutral","beschreibt gut","neutral","beschreibt gut","beschreibt gut","neutral","neutral","beschreibt gut","beschreibt gut","Eher positiv"
"2025/05/29 7:10:38 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","45–54 Jahre","Deutschland","Mittlere Reife / Realschulabschluss","Angestellte/r","beschreibt schlecht","beschreibt schlecht","neutral","beschreibt sehr schlecht","beschreibt schlecht","neutral","beschreibt gut","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt sehr schlecht","Eher negativ"